2023-02-02 15:31:20,425 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:31:20,427 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:31:30,440 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:31:31,446 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:31:46,590 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:31:46,590 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:31:46,594 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:31:46,598 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:31:46,600 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:31:49,462 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:31:59,473 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:32:00,476 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:32:00,478 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:32:10,492 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:32:11,497 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:32:11,499 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:32:21,511 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:32:22,515 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:33:07,943 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:33:17,959 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:33:18,961 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:33:18,962 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:33:28,995 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:33:30,001 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:33:30,003 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:33:40,014 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:33:41,018 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:34:38,602 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:34:48,615 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:34:49,618 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:34:49,620 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:34:59,633 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:35:00,636 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:35:00,637 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:35:10,651 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:35:11,655 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:35:44,949 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:35:54,970 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:35:55,976 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:35:55,977 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:36:05,987 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:36:06,989 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:36:06,990 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:36:17,002 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:36:18,008 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:36:26,329 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:36:36,346 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:36:37,350 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:36:37,352 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:36:47,364 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:36:48,368 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:36:48,370 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:36:58,391 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:36:59,397 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:37:34,999 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:37:45,016 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:37:46,020 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:37:46,022 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:37:56,031 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:37:57,034 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:37:57,035 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:38:07,047 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:38:08,053 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:38:11,601 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:38:21,623 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:38:22,630 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:38:22,641 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:38:32,658 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:38:33,663 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:38:33,664 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:38:35,301 | MainThread   | [ERROR   ] | _connect            |: 
2023-02-02 15:39:20,513 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:39:20,515 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:39:20,516 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:39:25,855 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:39:25,855 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:39:25,857 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:39:25,859 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:39:25,863 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:39:25,955 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:39:25,955 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:39:25,957 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:39:36,204 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:39:37,210 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:39:37,212 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:39:47,226 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:39:48,228 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:39:48,229 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:39:58,243 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
